company_name,scrap_time
Eaton,2024-12-29 20:13:44.430188+00
"Mitsubishi Electric Power Products, Inc.",2024-12-29 20:13:52.266129+00
The Bank of New York Mellon Corporation,2024-12-29 20:13:59.388423+00
"General Dynamics Mission Systems, Inc",2024-12-29 20:14:06.559355+00
Trivium Packaging,2024-12-29 20:14:14.472392+00
Evertz Microsystems Limited,2024-12-29 20:14:21.648433+00
Strata Worldwide,2024-12-29 20:14:28.781979+00
PNC Financial Services Group,2024-12-29 20:14:37.000887+00
Eaton,2024-12-29 20:14:44.137548+00
Qualitest,2024-12-29 20:14:51.287794+00
Persistent Systems,2024-12-29 20:14:59.602357+00
Qualitest,2024-12-29 20:15:06.762016+00
Systems Ally,2024-12-29 20:15:13.912954+00
Schneider Electric,2024-12-29 20:15:22.246374+00
Near Earth Autonomy,2024-12-29 20:15:29.392365+00
Benshaw Inc.,2024-12-29 20:15:36.548459+00
Accenture,2024-12-29 20:15:45.289484+00
Accenture,2024-12-29 20:15:52.429684+00
Accenture,2024-12-29 20:15:59.572824+00
Matthews International Corporation,2024-12-29 20:16:08.759041+00
Omnicell,2024-12-29 20:16:15.931241+00
Google,2024-12-29 20:16:23.084607+00
"Edge AI Solutions, Inc",2024-12-29 20:16:32.326383+00
Carnegie Mellon University,2024-12-29 20:16:39.471705+00
Eaton,2024-12-29 20:16:46.614737+00
Lynx Software Technologies,2024-12-29 20:16:56.020423+00
Eaton,2024-12-29 20:17:03.137537+00
Arieca,2024-12-29 20:17:10.294655+00
Bloomfield Robotics,2024-12-29 20:17:19.979822+00
Quest Diagnostics,2024-12-29 20:17:27.148721+00
Aurora Innovation,2024-12-29 20:17:34.291562+00
Aurora Innovation,2024-12-29 20:17:42.822925+00
Accenture,2024-12-29 20:17:49.972619+00
Arcadis,2024-12-29 20:17:57.103312+00
ST ENGINEERING AETHON INC,2024-12-29 20:18:06.072842+00
Certified Oil,2024-12-29 20:18:13.20984+00
Onward Robotics,2024-12-29 20:18:20.345092+00
ITT Inc. - English US,2024-12-29 20:18:30.057586+00
Eaton,2024-12-29 20:18:37.238778+00
MSA Safety,2024-12-29 20:18:44.389972+00
University of Pittsburgh,2024-12-29 20:18:53.646929+00
Battle Motors Inc,2024-12-29 20:19:00.79247+00
Daedalus,2024-12-29 20:19:07.937937+00
Aurora Innovation,2024-12-29 20:19:17.279037+00
Software Engineering Institute,2024-12-29 20:19:24.43798+00
ALSTOM,2024-12-29 20:19:31.592955+00
Software Engineering Institute,2024-12-29 20:19:40.964875+00
Software Engineering Institute,2024-12-29 20:19:48.111451+00
Eaton,2024-12-29 20:19:55.267146+00
Westinghouse Electric Co,2024-12-29 20:20:05.112835+00
Oculus,2024-12-29 20:20:12.262136+00
Aurora Innovation,2024-12-29 20:20:19.403989+00
"Civil & Environmental Consultants, Inc.",2024-12-29 20:20:28.948487+00
Transom Group,2024-12-29 20:20:36.090322+00
Rapid Flow Technologies,2024-12-29 20:20:43.22885+00
Carnegie Mellon University,2024-12-29 20:20:52.749367+00
Timesys Corporation,2024-12-29 20:20:59.893141+00
Daedalus,2024-12-29 20:21:07.039199+00
Timesys Corporation,2024-12-29 20:21:17.346747+00
DYNAMICS,2024-12-29 20:21:24.500342+00
DYNAMICS,2024-12-29 20:21:31.635467+00
DYNAMICS,2024-12-29 20:21:41.765272+00
Eaton,2024-12-29 20:21:48.929682+00
Westinghouse Electric Co,2024-12-29 20:21:56.069107+00
Oculus,2024-12-29 20:22:05.991231+00
Aurora Innovation,2024-12-29 20:22:13.142181+00
"Civil & Environmental Consultants, Inc.",2024-12-29 20:22:20.27596+00
Transom Group,2024-12-29 20:22:27.415793+00
Rapid Flow Technologies,2024-12-29 20:22:34.567509+00
Carnegie Mellon University,2024-12-29 20:22:41.714334+00
Timesys Corporation,2024-12-29 20:22:48.874275+00
Daedalus,2024-12-29 20:22:56.017553+00
Daedalus,2024-12-29 20:23:03.16112+00
Timesys Corporation,2024-12-29 20:23:10.297184+00
DYNAMICS,2024-12-29 20:23:20.417885+00
DYNAMICS,2024-12-29 20:23:27.56884+00
DYNAMICS,2024-12-29 20:23:34.715442+00
Eaton,2024-12-29 20:23:45.102334+00
Westinghouse Electric Co,2024-12-29 20:23:52.252366+00
Oculus,2024-12-29 20:23:59.396059+00
Aurora Innovation,2024-12-29 20:24:06.54608+00
"Civil & Environmental Consultants, Inc.",2024-12-29 20:24:13.703862+00
Transom Group,2024-12-29 20:24:20.84097+00
Rapid Flow Technologies,2024-12-29 20:24:27.983027+00
Carnegie Mellon University,2024-12-29 20:24:36.261822+00
Timesys Corporation,2024-12-29 20:24:43.412662+00
Daedalus,2024-12-29 20:24:50.546266+00
Daedalus,2024-12-29 20:25:01.053844+00
Timesys Corporation,2024-12-29 20:25:08.220715+00
DYNAMICS,2024-12-29 20:25:15.372163+00
DYNAMICS,2024-12-29 20:25:22.527971+00
DYNAMICS,2024-12-29 20:25:29.674938+00
Eaton,2024-12-29 20:25:36.828257+00
Westinghouse Electric Co,2024-12-29 20:25:43.97279+00
Oculus,2024-12-29 20:25:51.984555+00
Aurora Innovation,2024-12-29 20:25:59.114378+00
"Civil & Environmental Consultants, Inc.",2024-12-29 20:26:06.257366+00
Transom Group,2024-12-29 20:26:13.408933+00
Rapid Flow Technologies,2024-12-29 20:26:20.551619+00
Carnegie Mellon University,2024-12-29 20:26:27.702+00
Timesys Corporation,2024-12-29 20:26:34.88328+00
Daedalus,2024-12-29 20:26:43.831436+00
Daedalus,2024-12-29 20:26:50.965283+00
Timesys Corporation,2024-12-29 20:26:58.118397+00
DYNAMICS,2024-12-29 20:27:05.272003+00
DYNAMICS,2024-12-29 20:27:12.422586+00
DYNAMICS,2024-12-29 20:27:19.581619+00
Sigma Computing,2024-12-29 20:29:16.783722+00
Citi,2024-12-29 20:29:23.949028+00
EOS,2024-12-29 20:29:31.100381+00
Hatch Global Search,2024-12-29 20:29:38.240906+00
The Raymond Corporation,2024-12-29 20:29:45.390137+00
Clarapath,2024-12-29 20:29:52.533027+00
Sigma Computing,2024-12-29 20:29:59.668867+00
Cornell University,2024-12-29 20:30:06.807061+00
Disney Entertainment & ESPN Technology,2024-12-29 20:30:13.971302+00
People USA,2024-12-29 20:30:21.099852+00
Oura,2024-12-29 20:30:28.253388+00
The Raymond Corporation,2024-12-29 20:30:38.61312+00
Pfizer,2024-12-29 20:30:45.785267+00
"Insurance Fund, State",2024-12-29 20:30:52.942732+00
Center For Disability Services,2024-12-29 20:31:00.084133+00
The Raymond Corporation,2024-12-29 20:31:07.219615+00
Citi,2024-12-29 20:31:14.371831+00
Chenega MIOS,2024-12-29 20:31:21.518817+00
Datadog,2024-12-29 20:31:28.665518+00
L3Harris Technologies,2024-12-29 20:31:35.807997+00
L3Harris Technologies,2024-12-29 20:31:42.932021+00
Affirm,2024-12-29 20:31:50.071537+00
Lockheed Martin,2024-12-29 20:31:57.211039+00
CBRE,2024-12-29 20:32:07.509025+00
Rich Products Corporation,2024-12-29 20:32:14.665771+00
ACV Auctions,2024-12-29 20:32:21.807383+00
QBE,2024-12-29 20:32:28.962724+00
Google,2024-12-29 20:32:36.106089+00
Disney Entertainment & ESPN Technology,2024-12-29 20:32:43.241817+00
New York Life Insurance Co,2024-12-29 20:32:50.385342+00
L3Harris Technologies,2024-12-29 20:32:57.556386+00
Metro Assoc.,2024-12-29 20:33:04.692635+00
Lockheed Martin,2024-12-29 20:33:11.823655+00
Veeva Systems,2024-12-29 20:33:18.984753+00
CACI,2024-12-29 20:33:26.137579+00
Lockheed Martin,2024-12-29 20:33:33.299614+00
Lockheed Martin,2024-12-29 20:33:40.431833+00
Rain,2024-12-29 20:33:50.285357+00
Crisis24,2024-12-29 20:33:57.44873+00
Amtrak,2024-12-29 20:34:04.601582+00
GE Vernova MDS,2024-12-29 20:34:11.752287+00
Aloden Inc,2024-12-29 20:34:18.892928+00
Live Nation,2024-12-29 20:34:26.037305+00
Luzmo,2024-12-29 20:34:33.175528+00
Avant Tech,2024-12-29 20:34:40.319727+00
"North Atlantic Industries, Inc",2024-12-29 20:34:47.471191+00
PepsiCo,2024-12-29 20:34:54.639745+00
FTS Inc,2024-12-29 20:35:01.787466+00
Metrea Management LLC,2024-12-29 20:35:12.132145+00
FTS Inc,2024-12-29 20:35:19.278247+00
Lead Bank,2024-12-29 20:35:26.436982+00
BAE Systems,2024-12-29 20:35:33.593366+00
People USA,2024-12-29 20:35:40.729651+00
Sumitomo Mitsui Banking Corporation,2024-12-29 20:35:47.865488+00
Palo Alto Networks,2024-12-29 20:35:56.493638+00
Sigma Computing,2024-12-29 20:36:03.660952+00
Google,2024-12-29 20:36:10.793467+00
QuidelOrtho,2024-12-29 20:36:17.933909+00
Safe Flight Instrument,2024-12-29 20:36:25.070229+00
PRICE WATERHOUSE COOPERS,2024-12-29 20:36:32.228011+00
Sigma Computing,2024-12-29 20:36:39.390081+00
New York Life Insurance Co,2024-12-29 20:36:46.545745+00
Intersection,2024-12-29 20:36:53.686398+00
MoneyLion,2024-12-29 20:37:00.858259+00
New York Life Insurance Co,2024-12-29 20:37:08.570764+00
White & Case,2024-12-29 20:37:15.725701+00
Open Up Resources,2024-12-29 20:37:22.859653+00
Conde Nast,2024-12-29 20:37:29.996001+00
Anterior,2024-12-29 20:37:37.16435+00
"ICR, Inc.",2024-12-29 20:37:45.977551+00
CACI,2024-12-29 20:37:53.117628+00
New York Life Insurance Co,2024-12-29 20:38:00.260669+00
L3Harris Technologies,2024-12-29 20:38:07.403669+00
Brigit,2024-12-29 20:38:14.559611+00
New York Life Insurance Co,2024-12-29 20:38:23.612609+00
New York Life Insurance Co,2024-12-29 20:38:30.755904+00
Lovingly,2024-12-29 20:38:37.910329+00
Council of State Governments,2024-12-29 20:38:45.062884+00
"Attorney General, Office of the",2024-12-29 20:38:52.227614+00
ACV Auctions,2024-12-29 20:39:00.960649+00
New York Life Insurance Co,2024-12-29 20:39:08.112465+00
Cornell University,2024-12-29 20:39:15.249535+00
Accenture,2024-12-29 20:39:22.390134+00
Accenture,2024-12-29 20:39:29.532909+00
New York Life Insurance Co,2024-12-29 20:39:36.656462+00
New York State Office of the Attorney General,2024-12-29 20:39:43.805902+00
Bosch Group,2024-12-29 20:39:50.95679+00
CAE,2024-12-29 20:39:58.636713+00
JWP Connatix,2024-12-29 20:40:05.777341+00
Capital One,2024-12-29 20:40:12.90466+00
Data Device Corporation,2024-12-29 20:40:20.054504+00
Lockheed Martin,2024-12-29 20:40:27.197776+00
Safran,2024-12-29 20:40:34.365496+00
Fulton Thermal Corporation,2024-12-29 20:40:41.49475+00
Clarapath,2024-12-29 20:40:48.640561+00
FTS Inc,2024-12-29 20:40:57.158372+00
Criteo,2024-12-29 20:41:04.300038+00
FTS Inc,2024-12-29 20:41:11.434319+00
Securitas Electronic Security Inc.,2024-12-29 20:41:18.558994+00
New York Life Insurance Co,2024-12-29 20:41:25.692338+00
PagerDuty,2024-12-29 20:41:32.836396+00
New York Life Insurance Co,2024-12-29 20:41:39.968079+00
New York Life Insurance Co,2024-12-29 20:41:47.113143+00
Flagstar Bank,2024-12-29 20:41:54.262184+00
New York Life Insurance Co,2024-12-29 20:42:01.412156+00
Google,2024-12-29 20:42:08.563738+00
L3Harris Technologies,2024-12-29 20:42:17.236104+00
EagleView,2024-12-29 20:42:24.37419+00
Disney Entertainment & ESPN Technology,2024-12-29 20:42:31.519571+00
Data Device Corporation,2024-12-29 20:42:38.668928+00
Replicated,2024-12-29 20:42:45.807304+00
CPS Recruitment,2024-12-29 20:42:52.949612+00
MoneyLion,2024-12-29 20:43:00.086942+00
FlexTrade,2024-12-29 20:43:07.224061+00
Aon Corporation,2024-12-29 20:43:14.365174+00
Citi,2024-12-29 20:43:21.515435+00
Airwallex,2024-12-29 20:43:28.668471+00
Warner Bros. Discovery,2024-12-29 20:43:37.844092+00
C Speed LLC,2024-12-29 20:43:45.016633+00
NYSTEC,2024-12-29 20:43:52.180025+00
FTS Inc,2024-12-29 20:43:59.307989+00
CAST Software Inc.,2024-12-29 20:44:06.493917+00
Integer,2024-12-29 20:44:13.626064+00
Amazon.com Services LLC,2024-12-29 20:44:20.765243+00
Persistent Systems,2024-12-29 20:44:27.907355+00
"ICR, Inc.",2024-12-29 20:44:35.063164+00
Enser Corporation,2024-12-29 20:44:42.20875+00
SUNY Ulster,2024-12-29 20:44:49.361809+00
New York Life Insurance Co,2024-12-29 20:44:56.514893+00
Blizzard Entertainment,2024-12-29 20:45:03.671888+00
New York Life Insurance Co,2024-12-29 20:45:10.821496+00
Magellan Health,2024-12-29 20:45:17.973885+00
Gorgias,2024-12-29 20:45:25.104351+00
Altronix Corp.,2024-12-29 20:45:32.286287+00
New York Life Insurance Co,2024-12-29 20:45:41.540149+00
New York Life Insurance Co,2024-12-29 20:45:48.691598+00
Fora Travel,2024-12-29 20:45:55.837437+00
New York Life Insurance Co,2024-12-29 20:46:02.985646+00
New York Life Insurance Co,2024-12-29 20:46:10.138814+00
Regeneron,2024-12-29 20:46:17.265985+00
Naval Nuclear Laboratory,2024-12-29 20:46:24.400006+00
Worldpay,2024-12-29 20:46:31.584311+00
BAE Systems,2024-12-29 20:46:38.75436+00
Zeta Global,2024-12-29 20:46:45.921156+00
Fora Travel,2024-12-29 20:46:53.079468+00
"ENSCO, Inc.",2024-12-29 20:47:00.213376+00
BAE Systems,2024-12-29 20:47:07.360473+00
Goldman Sachs,2024-12-29 20:47:14.497478+00
NBCUniversal,2024-12-29 20:47:21.61851+00
Moog Inc.,2024-12-29 20:47:28.780461+00
American Range,2024-12-29 20:49:49.700567+00
The Walt Disney Studios,2024-12-29 20:49:56.843351+00
Disney,2024-12-29 20:50:04.001493+00
U.S. Bank National Association,2024-12-29 20:50:11.131763+00
TRIGO,2024-12-29 20:50:18.285209+00
The Aerospace Corporation,2024-12-29 20:50:25.418011+00
QSS,2024-12-29 20:50:32.572684+00
Northrop Grumman,2024-12-29 20:50:39.711109+00
Motive Companies,2024-12-29 20:50:46.86014+00
Eastridge,2024-12-29 20:50:54.014304+00
The Aerospace Corporation,2024-12-29 20:51:01.172621+00
L3Harris Technologies,2024-12-29 20:51:08.30405+00
Gables Search Group,2024-12-29 20:51:15.453083+00
Concurrent Technologies,2024-12-29 20:51:22.595663+00
Raytheon,2024-12-29 20:51:29.87601+00
WTIwireless,2024-12-29 20:51:37.025099+00
Canoga Perkins Corporation,2024-12-29 20:51:44.181021+00
Cimarron Software Services Inc,2024-12-29 20:51:51.977521+00
Silvus Technologies,2024-12-29 20:51:59.115077+00
Fluxergy,2024-12-29 20:52:06.268048+00
Ford Motor Company,2024-12-29 20:52:14.709932+00
Apple,2024-12-29 20:52:21.843433+00
Ford Motor Company,2024-12-29 20:52:28.988098+00
EV Mode,2024-12-29 20:52:36.860641+00
Anduril Industries,2024-12-29 20:52:44.026414+00
Rivian and VW Group Technology,2024-12-29 20:52:51.159722+00
Aaeon Electronics Inc.,2024-12-29 20:53:00.602912+00
Skyryse,2024-12-29 20:53:07.763823+00
The Regents of the University of California on...,2024-12-29 20:53:14.916318+00
"Diversified Technical Systems, Inc.",2024-12-29 20:53:23.002633+00
Apple,2024-12-29 20:53:30.158425+00
SpaceX,2024-12-29 20:53:37.320518+00
Hermeus,2024-12-29 20:53:46.09521+00
Northrop Grumman,2024-12-29 20:53:53.247763+00
Redwood Strong LLC,2024-12-29 20:54:00.411952+00
Curtin Maritime,2024-12-29 20:54:09.26177+00
Hermeus,2024-12-29 20:54:16.400107+00
Rivian and VW Group Technology,2024-12-29 20:54:23.54688+00
"TAE Technologies, Inc.",2024-12-29 20:54:32.377564+00
Infineon Technologies,2024-12-29 20:54:39.545108+00
Relativity Space,2024-12-29 20:54:46.698763+00
GoodLeap,2024-12-29 20:54:56.163239+00
Relativity Space,2024-12-29 20:55:03.306919+00
Coco,2024-12-29 20:55:10.482158+00
"Yoh, A Day & Zimmermann Company",2024-12-29 20:55:20.022824+00
Apple,2024-12-29 20:55:27.216665+00
Ford Motor Company,2024-12-29 20:55:34.370988+00
"Garmin International, Inc.",2024-12-29 20:55:43.473208+00
JWCH Institute,2024-12-29 20:55:50.615808+00
Aptiv plc,2024-12-29 20:55:57.76133+00
Abbott Laboratories,2024-12-29 20:56:07.561571+00
Seneca Holdings,2024-12-29 20:56:14.700009+00
Rivian and VW Group Technology,2024-12-29 20:56:21.827592+00
NBCUniversal,2024-12-29 20:56:32.04908+00
Anduril Industries,2024-12-29 20:56:39.208467+00
Rivian and VW Group Technology,2024-12-29 20:56:46.3565+00
Blue Origin,2024-12-29 20:56:56.244255+00
Rivian,2024-12-29 20:57:03.388974+00
Aitech,2024-12-29 20:57:10.538111+00
TP-Link Systems Inc.,2024-12-29 20:57:20.612342+00
TP-Link Systems Inc.,2024-12-29 20:57:27.750263+00
Barksdale Control Products,2024-12-29 20:57:34.907093+00
Ford Motor Company,2024-12-29 20:57:44.704831+00
Axiomtek,2024-12-29 20:57:51.861915+00
Phase Four,2024-12-29 20:57:59.006379+00
Alcon,2024-12-29 20:58:08.889672+00
"BrainChip, Inc.",2024-12-29 20:58:16.055959+00
Phase Four,2024-12-29 20:58:23.206785+00
Anco Design Build,2024-12-29 20:58:32.535895+00
The Aerospace Corporation,2024-12-29 20:58:39.681703+00
Axiomtek,2024-12-29 20:58:46.822859+00
Medtronic,2024-12-29 20:58:57.089293+00
Booz Allen,2024-12-29 20:59:04.243962+00
Seneca Holdings,2024-12-29 20:59:11.393557+00
Apple,2024-12-29 20:59:21.403152+00
The Aerospace Corporation,2024-12-29 20:59:28.560279+00
The Aerospace Corporation,2024-12-29 20:59:35.709647+00
Northrop Grumman,2024-12-29 20:59:42.870911+00
Icarus,2024-12-29 20:59:50.024807+00
Blue Sky Negoces USA LLC,2024-12-29 20:59:57.179371+00
Seneca Holdings,2024-12-29 21:00:04.330376+00
Samsara,2024-12-29 21:00:11.478229+00
Northrop Grumman,2024-12-29 21:00:18.626971+00
Northrop Grumman,2024-12-29 21:00:25.770494+00
Rivian and VW Group Technology,2024-12-29 21:00:32.911964+00
"Advanced Micro Devices, Inc",2024-12-29 21:00:40.054988+00
Rivian and VW Group Technology,2024-12-29 21:00:47.194218+00
Google,2024-12-29 21:00:54.346797+00
PRICE WATERHOUSE COOPERS,2024-12-29 21:01:01.516628+00
Anduril Industries,2024-12-29 21:01:08.648438+00
Capgemini,2024-12-29 21:01:15.779712+00
Freeform,2024-12-29 21:01:22.915621+00
Amazon.com Services LLC - A57,2024-12-29 21:01:30.078389+00
Rivian and VW Group Technology,2024-12-29 21:01:37.223544+00
Anduril Industries,2024-12-29 21:01:44.359739+00
TP-Link Systems Inc.,2024-12-29 21:01:52.712828+00
Freeform,2024-12-29 21:01:59.855104+00
Rivian,2024-12-29 21:02:06.9981+00
RedBalloon LLC,2024-12-29 21:02:14.135437+00
Rivian and VW Group Technology,2024-12-29 21:02:21.28386+00
TP-Link Systems Inc.,2024-12-29 21:02:28.449671+00
"MyHR, LLC.",2024-12-29 21:02:35.582938+00
Rocket Lab USA,2024-12-29 21:02:43.009133+00
Collins Aerospace,2024-12-29 21:02:50.137788+00
Capgemini,2024-12-29 21:02:57.279003+00
Collins Aerospace,2024-12-29 21:03:04.424648+00
Capgemini,2024-12-29 21:03:11.598701+00
ASSA ABLOY,2024-12-29 21:03:18.734491+00
Freeform,2024-12-29 21:03:25.871226+00
Anduril Industries,2024-12-29 21:03:35.779428+00
SpaceX,2024-12-29 21:03:42.92639+00
Collins Aerospace,2024-12-29 21:03:50.061805+00
Anduril Industries,2024-12-29 21:03:57.232325+00
AllSTEM Connections,2024-12-29 21:04:04.378799+00
RTL Networks,2024-12-29 21:04:11.537083+00
Jobspro Staffing,2024-12-29 21:04:18.688781+00
Open Droids,2024-12-29 21:04:26.594675+00
Anduril Industries,2024-12-29 21:04:33.74465+00
Anduril Industries,2024-12-29 21:04:40.883226+00
GEI Consultants,2024-12-29 21:04:48.037553+00
Anduril Industries,2024-12-29 21:04:55.186351+00
Anduril Industries,2024-12-29 21:05:02.336514+00
Anduril Industries,2024-12-29 21:05:09.498716+00
Anduril Industries,2024-12-29 21:05:18.187217+00
Anduril Industries,2024-12-29 21:05:25.318339+00
Schneider Electric,2024-12-29 21:05:32.465668+00
Safran,2024-12-29 21:05:39.608286+00
Rivian and VW Group Technology,2024-12-29 21:05:46.739547+00
Freeform,2024-12-29 21:05:53.886174+00
Anduril Industries,2024-12-29 21:06:01.024871+00
Rivian and VW Group Technology,2024-12-29 21:06:09.135217+00
DIRECTV,2024-12-29 21:06:16.282434+00
Northrop Grumman,2024-12-29 21:06:23.413829+00
Sii,2024-12-29 21:06:30.552916+00
Collins Aerospace,2024-12-29 21:06:37.712489+00
Hermeus,2024-12-29 21:06:44.857661+00
Accenture,2024-12-29 21:06:52.003966+00
Sonova,2024-12-29 21:07:01.752244+00
Accenture,2024-12-29 21:07:08.887582+00
Infineon Technologies,2024-12-29 21:07:16.029759+00
Red Cat Holdings Inc,2024-12-29 21:07:23.173281+00
KGS LLC,2024-12-29 21:07:30.338701+00
iLink Digital,2024-12-29 21:07:37.473156+00
OMRON,2024-12-29 21:07:44.635813+00
Rivian and VW Group Technology,2024-12-29 21:07:53.97323+00
Apple,2024-12-29 21:08:01.117283+00
Empire,2024-12-29 21:08:08.283926+00
Apple,2024-12-29 21:08:15.439122+00
EVgo,2024-12-29 21:08:22.588901+00
RTL Networks,2024-12-29 21:08:29.73224+00
Southwire Company LLC,2024-12-29 21:10:48.971718+00
Cryoport Systems,2024-12-29 21:10:56.100998+00
UNITED NEGRO COLLEGE FUND,2024-12-29 21:11:03.243516+00
Heidelberg USA Inc,2024-12-29 21:11:10.393544+00
Heidelberg USA Inc,2024-12-29 21:11:17.522596+00
Capgemini,2024-12-29 21:11:24.657101+00
Global Payment Holding Company,2024-12-29 21:11:31.81353+00
Cryoport Systems,2024-12-29 21:11:38.983349+00
"Viasat, Inc.",2024-12-29 21:11:46.125378+00
Rheem Manufacturing,2024-12-29 21:11:53.277438+00
Hermeus,2024-12-29 21:12:00.438641+00
Southwire Company LLC,2024-12-29 21:12:07.567525+00
Hermeus,2024-12-29 21:12:17.024983+00
Worldpay,2024-12-29 21:12:24.1656+00
Mueller Water Products,2024-12-29 21:12:31.297966+00
Elma Electronic,2024-12-29 21:12:38.985257+00
CarMax,2024-12-29 21:12:46.150348+00
PagerDuty,2024-12-29 21:12:53.284629+00
Sygna Solutions,2024-12-29 21:13:00.431542+00
CarMax,2024-12-29 21:13:07.582106+00
Anduril Industries,2024-12-29 21:13:14.743598+00
Palo Alto Networks,2024-12-29 21:13:21.870295+00
FIS Global,2024-12-29 21:13:29.050171+00
Ameris Bank,2024-12-29 21:13:36.194643+00
Google,2024-12-29 21:13:43.342101+00
NCR,2024-12-29 21:13:50.487385+00
PRICE WATERHOUSE COOPERS,2024-12-29 21:13:57.639437+00
Cryoport Systems,2024-12-29 21:14:04.790949+00
Crisis24,2024-12-29 21:14:11.938046+00
"Arrow Electronics, Inc.",2024-12-29 21:14:19.089503+00
"Experity, Inc",2024-12-29 21:14:26.230166+00
"Dennis Group for New Grads, Co-Ops & Internships",2024-12-29 21:14:33.376757+00
Dennis Group Atlanta,2024-12-29 21:14:40.51019+00
Janus International Group,2024-12-29 21:14:47.651989+00
Rheem Manufacturing,2024-12-29 21:14:54.780789+00
ADP,2024-12-29 21:15:01.923413+00
Dennis Group Atlanta,2024-12-29 21:15:09.097+00
Hermeus,2024-12-29 21:15:16.271482+00
Accenture,2024-12-29 21:15:23.433989+00
Accenture,2024-12-29 21:15:30.597044+00
AeroVect,2024-12-29 21:15:37.733117+00
NCR,2024-12-29 21:15:44.864626+00
U.S. Bank National Association,2024-12-29 21:15:51.992343+00
Google,2024-12-29 21:15:59.145056+00
General Motors,2024-12-29 21:16:06.376514+00
U.S. Bank National Association,2024-12-29 21:16:13.54057+00
U.S. Bank National Association,2024-12-29 21:16:20.69823+00
Renesas Electronics,2024-12-29 21:16:27.842066+00
PagerDuty,2024-12-29 21:16:35.303679+00
Intuit,2024-12-29 21:16:42.458831+00
Intuit,2024-12-29 21:16:49.601896+00
ADP,2024-12-29 21:16:57.396679+00
TK Elevator Corporation,2024-12-29 21:17:04.528268+00
Adtran,2024-12-29 21:17:11.671647+00
Worldpay,2024-12-29 21:17:19.097042+00
VetsEZ,2024-12-29 21:17:26.231658+00
Ciena,2024-12-29 21:17:33.385149+00
Dennis Group,2024-12-29 21:17:40.996478+00
Zeta Global,2024-12-29 21:17:48.135788+00
Copeland,2024-12-29 21:17:55.297278+00
Copeland,2024-12-29 21:18:02.834613+00
Workday,2024-12-29 21:18:09.977155+00
Worldpay,2024-12-29 21:18:17.126046+00
UST Global,2024-12-29 21:18:25.542336+00
Anduril Industries,2024-12-29 21:18:32.697232+00
PASA Panasonic Automotive Company,2024-12-29 21:18:39.831528+00
"Edible Arrangements, LLC",2024-12-29 21:18:47.410266+00
ASC Hire,2024-12-29 21:18:54.54488+00
FIS Global,2024-12-29 21:19:01.731136+00
Mastercard,2024-12-29 21:19:10.184968+00
"Contact Government Services, LLC",2024-12-29 21:19:17.369323+00
Janus International Group,2024-12-29 21:19:24.508155+00
YouLend,2024-12-29 21:19:32.261332+00
FIS Global,2024-12-29 21:19:39.408552+00
YouLend,2024-12-29 21:19:46.548063+00
YouLend,2024-12-29 21:19:55.029887+00
Accenture,2024-12-29 21:20:02.184817+00
Accenture,2024-12-29 21:20:09.332203+00
Trenton Systems,2024-12-29 21:20:17.916278+00
Tektree,2024-12-29 21:20:25.054438+00
Elma Electronic,2024-12-29 21:20:32.208778+00
Georgia-Pacific,2024-12-29 21:20:39.905491+00
DataPath,2024-12-29 21:20:47.053902+00
Datapath Inc,2024-12-29 21:20:54.202959+00
Kickr Design,2024-12-29 21:21:02.381873+00
Slip Robotics,2024-12-29 21:21:09.523796+00
Google,2024-12-29 21:21:16.682901+00
Arcadis,2024-12-29 21:21:25.071776+00
Wabtec,2024-12-29 21:21:32.231845+00
Elma Electronic,2024-12-29 21:21:39.395147+00
Elma Electronic,2024-12-29 21:21:48.0233+00
Schneider Electric,2024-12-29 21:21:55.177989+00
Wabtec,2024-12-29 21:22:02.35219+00
Rinnai America Corp,2024-12-29 21:22:11.576912+00
Software Technology Inc,2024-12-29 21:22:18.721098+00
FIS Global,2024-12-29 21:22:25.863447+00
Securitas Electronic Security Inc.,2024-12-29 21:22:35.389916+00
General Motors,2024-12-29 21:22:42.560553+00
Stryten Energy,2024-12-29 21:22:49.702186+00
Gilat,2024-12-29 21:22:58.969143+00
Hermeus,2024-12-29 21:23:06.118096+00
Integrated Solutions for Systems (IS4S),2024-12-29 21:23:13.263229+00
Integrated Solutions for Systems (IS4S),2024-12-29 21:23:22.788332+00
Rambus,2024-12-29 21:23:29.931761+00
Integrated Solutions for Systems (IS4S),2024-12-29 21:23:37.079727+00
Accenture,2024-12-29 21:23:46.541342+00
Dennis Group,2024-12-29 21:23:53.695855+00
Copeland,2024-12-29 21:24:00.854693+00
Hermeus,2024-12-29 21:24:10.83246+00
SoloPulse,2024-12-29 21:24:17.963928+00
Rambus,2024-12-29 21:24:25.107753+00
Landis+Gyr,2024-12-29 21:24:34.676429+00
Geotab,2024-12-29 21:24:41.871821+00
Dennis Group,2024-12-29 21:24:49.011857+00
PagerDuty,2024-12-29 21:24:58.36531+00
Neptune Technology Group Inc.,2024-12-29 21:25:05.490552+00
Landis+Gyr,2024-12-29 21:25:12.642628+00
Invesco,2024-12-29 21:25:22.655888+00
Mujin,2024-12-29 21:25:29.798526+00
Spartan Technologies,2024-12-29 21:25:36.950829+00
Avanos,2024-12-29 21:25:46.742327+00
Avanos,2024-12-29 21:25:53.88501+00
Spartan Technologies,2024-12-29 21:26:01.031688+00
